                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.3719,                 1.5286,                0.69621,                0.85595,                0.89348,                0.45833,                0.53275,                0.27699,                0.53905,                0.29167,                0.33178,                0.17242,                 1.5813,                 1.0605,                 1.3307,                0.89368,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.3362,                 1.4829,                0.68401,                  0.847,                0.67642,                0.61015,                0.63976,                0.29726,                0.48589,                0.33333,                0.40102,                0.18517,                 1.5856,                 1.0704,                 1.3403,                0.87192,               0.006931,               0.006931,               0.006931
                     64,                 1.2512,                 1.5247,                0.69969,                0.84643,                0.69755,                0.57688,                0.61631,                0.31927,                0.53519,                0.41667,                0.41881,                 0.1849,                 1.4911,                 1.0525,                 1.1461,                0.87353,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.2781,                 1.4717,                0.66054,                0.84414,                0.84387,                    0.5,                0.60117,                0.30893,                0.43813,                0.41667,                0.40721,                0.15306,                 1.5743,                 1.0697,                 1.2461,                0.88363,               0.006832,               0.006832,               0.006832
                     66,                 1.1973,                 1.5457,                0.63729,                 0.8352,                0.68181,                0.54167,                0.59848,                0.28972,                0.62061,                0.29167,                0.36289,                0.18225,                 1.6524,                 1.0767,                 1.3075,                0.90452,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.1771,                  1.425,                0.62308,                0.83601,                0.77926,                0.58861,                 0.6674,                0.31686,                0.59194,                  0.375,                0.36324,                0.14684,                 1.5082,                 1.0324,                0.82701,                0.89053,               0.006733,               0.006733,               0.006733
                     68,                 1.2616,                 1.4284,                0.64265,                0.83379,                0.68512,                0.58333,                0.56912,                0.33569,                0.55478,                  0.375,                0.41148,                0.14506,                 1.4901,                 1.0339,                0.77867,                0.90185,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.1814,                 1.3642,                0.64647,                0.84666,                0.81971,                 0.5689,                0.64357,                0.33156,                0.67539,                  0.375,                0.43285,                0.18511,                 1.3845,                 1.0554,                0.96453,                0.89202,               0.006634,               0.006634,               0.006634
                     70,                 1.2444,                 1.4223,                0.65647,                0.83574,                0.84287,                0.44766,                0.58638,                0.31523,                0.61378,                0.33124,                0.35937,                0.15704,                 1.5604,                 1.2156,                 1.2146,                0.93848,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.2282,                 1.5056,                0.64428,                 0.8375,                0.86754,                0.54167,                0.70693,                0.37387,                0.55902,                  0.375,                0.37528,                0.15235,                 1.3817,                  1.025,                 1.1471,                0.90287,               0.006535,               0.006535,               0.006535
